contrato;objeto;portal_de_compras;data_assinatura;inicio_execucao;termino_execucao;situacao;empresa_principal;cnpj;orgao_entidade_contratante;setor;modalidade_de_licitacao;regime_de_execucao;classificacao;natureza_do_contrato;obras_do_contrato;municipios;dias_originais;dias_aditados;dias_paralisados;dias_atuais;valor_inicial_do_contrato;valor_em_aditivos;valor_total_do_contrato;valor_medido_precos_iniciais;valor_medido_reajuste;total_medido;saldo_contratual;percentual_de_execucao_do_contrato
PRC-22.015/2017-C;MANUTENÇÃO E CONSERVAÇÃO DA 40ª URG - CORONEL FABRICIANO;230176220/17;2020-08-28;2020-09-01 00:00:00;2021-08-31 00:00:00;Execução concluída;CONSTRUTORA CENTRO LESTE ENGENHARIA LTDA;66418765000154,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;DIRETORIA DE OPERAÇÕES;CONCORRÊNCIA ELETRÔNICA;EMPREITADA POR PREÇO UNITÁRIO;Manutenção e Conservação;Natureza continuada e/ou conserva; Obra 1 - Manut. rodov., conserv. rotineira e periódica, serviços de urgência e pequenos melhoramentos, bem como reparações do corpo estradal, na 40ª CRG.; Obra 1 - Abre Campo, Acaiaca, Acarape, Acarau, Acopiara, Acrelandia, Acreuna, Adao Colares, Alvinópolis, Antônio Dias, Açucena, Bela Vista de Minas, Belo Horizonte, Belo Oriente, Bom Jesus do Galho, Braúnas, Bugre, Caratinga, Cava Grande, Coronel Fabriciano, Córrego Novo, Dionísio, Dom Silvério, Entre Folhas, Governador Valadares, Guanhães, Iapu, Imbé de Minas, Inhapim, Ipaba, Ipatinga, Jaguaraçu, Joanésia, João Monlevade, Marliéria, Matipó, Mesquita, Naque, Nova Era, Piedade de Caratinga, Pingo-d Água, Rio Piracicaba, Santa Bárbara do Leste, Santa Rita de Minas, Santana do Paraíso, São Domingos das Dores, São Domingos do Prata, São José do Goiabal, São João do Oriente, São Sebastião do Anta, Timóteo, Ubaporanga, Vargem Alegre, Virginópolis, Água Boa;365,0;0,0;0,0;365,0;5530940,42;24700,5;5555640,92;4513203,04;685432,17;5198635,21;1042437,88;0,812364064738727
PRC-22.015/2017-D;MANUTENÇÃO E CONSERVAÇÃO DA 40ª URG - CORONEL FABRICIANO;230176220/17;2021-08-18;2021-09-01 00:00:00;2022-08-31 00:00:00;Execução concluída;CONSTRUTORA CENTRO LESTE ENGENHARIA LTDA;66418765000154,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;DIRETORIA DE OPERAÇÕES;CONCORRÊNCIA ELETRÔNICA;EMPREITADA POR PREÇO UNITÁRIO;Manutenção e Conservação;Natureza continuada e/ou conserva; Obra 1 - Manut. rodov., conserv. rotineira e periódica, serviços de urgência e pequenos melhoramentos, bem como reparações do corpo estradal, na 40ª CRG.; Obra 1 - Abre Campo, Acaiaca, Acarape, Acarau, Acopiara, Acrelandia, Acreuna, Adao Colares, Alvinópolis, Antônio Dias, Açucena, Bela Vista de Minas, Belo Horizonte, Belo Oriente, Bom Jesus do Galho, Braúnas, Bugre, Caratinga, Cava Grande, Coronel Fabriciano, Córrego Novo, Dionísio, Dom Silvério, Entre Folhas, Governador Valadares, Guanhães, Iapu, Imbé de Minas, Inhapim, Ipaba, Ipatinga, Jaguaraçu, Joanésia, João Monlevade, Marliéria, Matipó, Mesquita, Naque, Nova Era, Piedade de Caratinga, Pingo-d Água, Rio Piracicaba, Santa Bárbara do Leste, Santa Rita de Minas, Santana do Paraíso, São Domingos das Dores, São Domingos do Prata, São José do Goiabal, São João do Oriente, São Sebastião do Anta, Timóteo, Ubaporanga, Vargem Alegre, Virginópolis, Água Boa;365,0;0,0;0,0;365,0;5514735,37;225721,93;5740457,3;4626805,88;1344879,28;5971685,16;1113651,42;0,805999528992229
PRC-22.015/2017-E;MANUTENÇÃO E CONSERVAÇÃO DA 40ª URG - CORONEL FABRICIANO;230176220/17;2022-08-19;2022-09-01 00:00:00;2023-08-31 00:00:00;Execução concluída;CONSTRUTORA CENTRO LESTE ENGENHARIA LTDA;66418765000154,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;DIRETORIA DE OPERAÇÕES;CONCORRÊNCIA ELETRÔNICA;EMPREITADA POR PREÇO UNITÁRIO;Manutenção e Conservação;Natureza continuada e/ou conserva; Obra 1 - Manut. rodov., conserv. rotineira e periódica, serviços de urgência e pequenos melhoramentos, bem como reparações do corpo estradal, na 40ª CRG.; Obra 1 - Abre Campo, Acaiaca, Acarape, Acarau, Acopiara, Acrelandia, Acreuna, Adao Colares, Alvinópolis, Antônio Dias, Açucena, Bela Vista de Minas, Belo Horizonte, Belo Oriente, Bom Jesus do Galho, Braúnas, Bugre, Caratinga, Cava Grande, Coronel Fabriciano, Córrego Novo, Dionísio, Dom Silvério, Entre Folhas, Governador Valadares, Guanhães, Iapu, Imbé de Minas, Inhapim, Ipaba, Ipatinga, Jaguaraçu, Joanésia, João Monlevade, Marliéria, Matipó, Mesquita, Naque, Nova Era, Piedade de Caratinga, Pingo-d Água, Rio Piracicaba, Santa Bárbara do Leste, Santa Rita de Minas, Santana do Paraíso, São Domingos das Dores, São Domingos do Prata, São José do Goiabal, São João do Oriente, São Sebastião do Anta, Timóteo, Ubaporanga, Vargem Alegre, Virginópolis, Água Boa;365,0;0,0;0,0;365,0;5493239,09;95913,32;5589152,41;4818087,55;2489153,9;7307241,45;771064,86;0,862042613362909
PRC-22.016/2018-B;MANUTENÇÃO ROTINEIRA DAS RODOVIAS DA 19ª URG -ITAJUBÁ;2301762 07/18;2020-07-31;2020-08-01 00:00:00;2021-07-31 00:00:00;Execução concluída;PAVIDEZ ENGENHARIA LTDA;1744153000106,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;DIRETORIA DE OPERAÇÕES;CONCORRÊNCIA ELETRÔNICA;EMPREITADA POR PREÇO UNITÁRIO;Manutenção e Conservação;Natureza continuada e/ou conserva; Obra 1 - MANUTENÇÃO ROTINEIRA DAS RODOVIAS DA 19ª URG - ITAJUBÁ; Obra 1 - Alagoa, Albertina, Bom Repouso, Borda da Mata, Brasópolis, Bueno Brandão, Cachoeira de Minas, Camanducaia, Cambuí, Carmo de Minas, Conceição das Pedras, Conceição dos Ouros, Consolação, Cristina, Córrego do Bom Jesus, Delfim Moreira, Dom Viçoso, Estiva, Extrema, Gonçalves, Inconfidentes, Itajubá, Itamonte, Itanhandu, Jacutinga, Jacutinga, Maria da Fé, Marmelópolis, Monte Sião, Monte Verde, Munhoz, Ouro Fino, Paraisópolis, Passa Quatro, Pedralva, Piranguinho, Piranguçu, Pouso Alegre, Pouso Alto, Santa Rita do Sapucaí, Sapucaí-Mirim, Senador Amaral, São José do Alegre, São Sebastião da Bela Vista, São Sebastião do Rio Verde, Tocos do Moji, Toledo, Três Corações, Virgínia, Wenceslau Braz;365,0;0,0;0,0;365,0;10885289,72;391508,08;11276797,8;8257049,48;889511,88;9146561,36;3019748,32;0,732215796225414
PRC-22.016/2018-C;MANUTENÇÃO ROTINEIRA DAS RODOVIAS DA 19ª URG -ITAJUBÁ;2301762 07/18;2021-07-16;2021-08-01 00:00:00;2022-07-31 00:00:00;Execução concluída;PAVIDEZ ENGENHARIA LTDA;1744153000106,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;DIRETORIA DE OPERAÇÕES;CONCORRÊNCIA ELETRÔNICA;EMPREITADA POR PREÇO UNITÁRIO;Manutenção e Conservação;Natureza continuada e/ou conserva; Obra 1 - MANUTENÇÃO ROTINEIRA DAS RODOVIAS DA 19ª URG - ITAJUBÁ; Obra 1 - Alagoa, Albertina, Bom Repouso, Borda da Mata, Brasópolis, Bueno Brandão, Cachoeira de Minas, Camanducaia, Cambuí, Carmo de Minas, Conceição das Pedras, Conceição dos Ouros, Consolação, Cristina, Córrego do Bom Jesus, Delfim Moreira, Dom Viçoso, Estiva, Extrema, Gonçalves, Inconfidentes, Itajubá, Itamonte, Itanhandu, Jacutinga, Jacutinga, Maria da Fé, Marmelópolis, Monte Sião, Monte Verde, Munhoz, Ouro Fino, Paraisópolis, Passa Quatro, Pedralva, Piranguinho, Piranguçu, Pouso Alegre, Pouso Alto, Santa Rita do Sapucaí, Sapucaí-Mirim, Senador Amaral, São José do Alegre, São Sebastião da Bela Vista, São Sebastião do Rio Verde, Tocos do Moji, Toledo, Três Corações, Virgínia, Wenceslau Braz;365,0;0,0;0,0;365,0;10878940,48;1572576,37;12451516,85;10937558,59;3313041,55;14250600,14;1513958,26;0,878411740654714
PRC-22.016/2018-D;MANUTENÇÃO ROTINEIRA DAS RODOVIAS DA 19ª URG -ITAJUBÁ;2301762 7/18;2022-06-23;2022-08-01 00:00:00;2023-07-31 00:00:00;Execução concluída;PAVIDEZ ENGENHARIA LTDA;1744153000106,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;DIRETORIA DE OPERAÇÕES;CONCORRÊNCIA ELETRÔNICA;EMPREITADA POR PREÇO UNITÁRIO;Manutenção e Conservação;Natureza continuada e/ou conserva; Obra 1 - MANUTENÇÃO ROTINEIRA DAS RODOVIAS DA 19ª URG - ITAJUBÁ; Obra 1 - Alagoa, Albertina, Bom Repouso, Borda da Mata, Brasópolis, Bueno Brandão, Cachoeira de Minas, Camanducaia, Cambuí, Carmo de Minas, Conceição das Pedras, Conceição dos Ouros, Consolação, Cristina, Córrego do Bom Jesus, Delfim Moreira, Dom Viçoso, Estiva, Extrema, Gonçalves, Inconfidentes, Itajubá, Itamonte, Itanhandu, Jacutinga, Jacutinga, Maria da Fé, Marmelópolis, Monte Sião, Monte Verde, Munhoz, Ouro Fino, Paraisópolis, Passa Quatro, Pedralva, Piranguinho, Piranguçu, Pouso Alegre, Pouso Alto, Santa Rita do Sapucaí, Sapucaí-Mirim, Senador Amaral, São José do Alegre, São Sebastião da Bela Vista, São Sebastião do Rio Verde, Tocos do Moji, Toledo, Três Corações, Virgínia, Wenceslau Braz;365,0;0,0;0,0;365,0;10878220,48;439120,24;11317340,72;9288494,86;4174558,0;13463052,86;2028845,86;0,820731220328586
PRC-22.016/2018-E;MANUTENÇÃO ROTINEIRA DAS RODOVIAS DA 19ª URG -ITAJUBÁ;2301762 7/18;2023-07-18;2023-08-01 00:00:00;2024-07-31 00:00:00;Execução concluída;PAVIDEZ ENGENHARIA LTDA;1744153000106,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;DIRETORIA DE OPERAÇÕES;CONCORRÊNCIA ELETRÔNICA;EMPREITADA POR PREÇO UNITÁRIO;Manutenção e Conservação;Natureza continuada e/ou conserva; Obra 1 - MANUTENÇÃO ROTINEIRA DAS RODOVIAS DA 19ª URG - ITAJUBÁ; Obra 1 - Alagoa, Albertina, Bom Repouso, Borda da Mata, Brasópolis, Bueno Brandão, Cachoeira de Minas, Camanducaia, Cambuí, Carmo de Minas, Conceição das Pedras, Conceição dos Ouros, Consolação, Cristina, Córrego do Bom Jesus, Delfim Moreira, Dom Viçoso, Estiva, Extrema, Gonçalves, Inconfidentes, Itajubá, Itamonte, Itanhandu, Jacutinga, Jacutinga, Maria da Fé, Marmelópolis, Monte Sião, Monte Verde, Munhoz, Ouro Fino, Paraisópolis, Passa Quatro, Pedralva, Piranguinho, Piranguçu, Pouso Alegre, Pouso Alto, Santa Rita do Sapucaí, Sapucaí-Mirim, Senador Amaral, São José do Alegre, São Sebastião da Bela Vista, São Sebastião do Rio Verde, Tocos do Moji, Toledo, Três Corações, Virgínia, Wenceslau Braz;366,0;0,0;0,0;366,0;10874820,48;-0,02;10874820,46;7494263,39;4117912,26;11612175,65;3380557,07;0,689139045335559
PRC-22.017/2017-C;MANUTENÇÃO E CONSERVAÇÃO RODOVIÁRIA 22ª URG;230176222/17;2020-10-01;2020-10-02 00:00:00;2021-10-01 00:00:00;Execução concluída;CONSTRUTORA TERRAYAMA LTDA;21681150000188,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;DIRETORIA DE OPERAÇÕES;CONCORRÊNCIA ELETRÔNICA;EMPREITADA POR PREÇO UNITÁRIO;Manutenção e Conservação;Natureza continuada e/ou conserva; Obra 1 - Manut. rodov., conserv. rotineira e periódica, serviços de urgência e pequenos melhoramentos, bem como reparações do corpo estradal, na 22ª URG.; Obra 1 - Araçuaí, Berilo, Chapada do Norte, Coronel Murta, Francisco Badaró, Guiricema, Itaobim, Itinga, Jenipapo de Minas, José Gonçalves de Minas, Leme do Prado, Minas Novas, Miraí, Monte Formoso, Novo Cruzeiro, Ponto dos Volantes, São Sebastião da Vargem Alegre, Turmalina, Virgem da Lapa;365,0;0,0;0,0;365,0;3854732,17;35239,49;3889971,66;3604675,08;567657,89;4172332,97;285296,58;0,926658442545054
PRC-22.017/2017-D;MANUTENÇÃO E CONSERVAÇÃO RODOVIÁRIA 22ª URG;230176222/17;2021-09-29;2021-10-02 00:00:00;2022-10-01 00:00:00;Execução concluída;CONSTRUTORA TERRAYAMA LTDA;21681150000188,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;DIRETORIA DE OPERAÇÕES;CONCORRÊNCIA ELETRÔNICA;EMPREITADA POR PREÇO UNITÁRIO;Manutenção e Conservação;Natureza continuada e/ou conserva; Obra 1 - Manut. rodov., conserv. rotineira e periódica, serviços de urgência e pequenos melhoramentos, bem como reparações do corpo estradal, na 22ª URG.; Obra 1 - Araçuaí, Berilo, Chapada do Norte, Coronel Murta, Francisco Badaró, Guiricema, Itaobim, Itinga, Jenipapo de Minas, José Gonçalves de Minas, Leme do Prado, Minas Novas, Miraí, Monte Formoso, Novo Cruzeiro, Ponto dos Volantes, São Sebastião da Vargem Alegre, Turmalina, Virgem da Lapa;365,0;0,0;0,0;365,0;3852352,17;28812,96;3881165,13;3652898,44;1025023,67;4677922,11;228266,69;0,941186040182732
PRC-22.017/2017-E;MANUTENÇÃO E CONSERVAÇÃO RODOVIÁRIA 22ª URG;230176222/17;2022-09-27;2022-10-02 00:00:00;2023-10-01 00:00:00;Execução concluída;CONSTRUTORA TERRAYAMA LTDA;21681150000188,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;DIRETORIA DE OPERAÇÕES;CONCORRÊNCIA ELETRÔNICA;EMPREITADA POR PREÇO UNITÁRIO;Manutenção e Conservação;Natureza continuada e/ou conserva; Obra 1 - Manut. rodov., conserv. rotineira e periódica, serviços de urgência e pequenos melhoramentos, bem como reparações do corpo estradal, na 22ª URG.; Obra 1 - Araçuaí, Berilo, Chapada do Norte, Coronel Murta, Francisco Badaró, Guiricema, Itaobim, Itinga, Jenipapo de Minas, José Gonçalves de Minas, Leme do Prado, Minas Novas, Miraí, Monte Formoso, Novo Cruzeiro, Ponto dos Volantes, São Sebastião da Vargem Alegre, Turmalina, Virgem da Lapa;365,0;0,0;0,0;365,0;3835433,4;31872,69;3867306,09;3696578,15;1687364,86;5383943,01;170727,94;0,955853522832996
PRC-22.017/2018-B;MANUTENÇÃO ROTINEIRA DAS RODOVIAS DA 15ª URG DO DER/MG - POÇOS DE CALDAS;2301762 05/18;2020-06-30;2020-07-01 00:00:00;2021-06-30 00:00:00;Execução concluída;PAVIDEZ ENGENHARIA LTDA;1744153000106,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;DIRETORIA DE OPERAÇÕES;CONCORRÊNCIA ELETRÔNICA;EMPREITADA POR PREÇO UNITÁRIO;Manutenção e Conservação;Natureza continuada e/ou conserva; Obra 1 - Manut. rodov., conserv. rotineira e periódica, serviços de urgência e pequenos melhoramentos, bem como reparações do corpo estradal, na 15ª URG.; Obra 1 - Alfenas, Andradas, Areado, Bandeira do Sul, Botelhos, Caldas, Campestre, Carvalhópolis, Divisa Nova, Espírito Santo do Dourado, Fama, Guaxupé, Ibitiúra de Minas, Juruaia, Machado, Monte Belo, Muzambinho, Nova Resende, Paraguaçu, Pouso Alegre, Poço Fundo, Poços de Caldas, Santa Rita de Caldas, Senador José Bento, Serrania, Silvianópolis, São João da Mata, São Pedro da União, Turvolândia;365,0;0,0;0,0;365,0;8737829,83;150387,92;8888217,75;6902678,73;711122,18;7613800,91;1985539,02;0,776609993606424
PRC-22.017/2018-C;MANUTENÇÃO ROTINEIRA DAS RODOVIAS DA 15ª URG DO DER/MG - POÇOS DE CALDAS;2301762 05/18;2021-06-23;2021-07-01 00:00:00;2022-06-30 00:00:00;Execução concluída;PAVIDEZ ENGENHARIA LTDA;1744153000106,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;DIRETORIA DE OPERAÇÕES;CONCORRÊNCIA ELETRÔNICA;EMPREITADA POR PREÇO UNITÁRIO;Manutenção e Conservação;Natureza continuada e/ou conserva; Obra 1 - Manut. rodov., conserv. rotineira e periódica, serviços de urgência e pequenos melhoramentos, bem como reparações do corpo estradal, na 15ª URG.; Obra 1 - Alfenas, Andradas, Areado, Bandeira do Sul, Botelhos, Caldas, Campestre, Carvalhópolis, Divisa Nova, Espírito Santo do Dourado, Fama, Guaxupé, Ibitiúra de Minas, Juruaia, Machado, Monte Belo, Muzambinho, Nova Resende, Paraguaçu, Pouso Alegre, Poço Fundo, Poços de Caldas, Santa Rita de Caldas, Senador José Bento, Serrania, Silvianópolis, São João da Mata, São Pedro da União, Turvolândia;365,0;0,0;0,0;365,0;8731190,64;426516,77;9157707,41;8918753,86;2434783,73;11353537,59;238953,55;0,973906837235369
PRC-22.017/2018-D;MANUTENÇÃO ROTINEIRA DAS RODOVIAS DA 15ª URG DO DER/MG - POÇOS DE CALDAS;2301762 5/18;2022-06-07;2022-07-01 00:00:00;2023-06-30 00:00:00;Execução concluída;PAVIDEZ ENGENHARIA LTDA;1744153000106,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;DIRETORIA DE OPERAÇÕES;CONCORRÊNCIA ELETRÔNICA;EMPREITADA POR PREÇO UNITÁRIO;Manutenção e Conservação;Natureza continuada e/ou conserva; Obra 1 - Manut. rodov., conserv. rotineira e periódica, serviços de urgência e pequenos melhoramentos, bem como reparações do corpo estradal, na 15ª URG.; Obra 1 - Alfenas, Andradas, Areado, Bandeira do Sul, Botelhos, Caldas, Campestre, Carvalhópolis, Congonhal, Divisa Nova, Espírito Santo do Dourado, Fama, Guaxupé, Ibitiúra de Minas, Ipuiúna, Juruaia, Machado, Monte Belo, Muzambinho, Nova Resende, Paraguaçu, Pouso Alegre, Poço Fundo, Poços de Caldas, Santa Rita de Caldas, Senador José Bento, Serrania, Silvianópolis, São João da Mata, São Pedro da União, Turvolândia;365,0;0,0;0,0;365,0;8730820,64;1304135,46;10034956,1;8671447,27;4812132,6;13483579,87;1363508,83;0,864124086203028
PRC-22.017/2018-E;MANUTENÇÃO ROTINEIRA DAS RODOVIAS DA 15ª URG DO DER/MG - POÇOS DE CALDAS;2301762 5/18;2023-06-14;2023-07-01 00:00:00;2024-06-30 00:00:00;Execução concluída;PAVIDEZ ENGENHARIA LTDA;1744153000106,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;DIRETORIA DE OPERAÇÕES;CONCORRÊNCIA ELETRÔNICA;EMPREITADA POR PREÇO UNITÁRIO;Manutenção e Conservação;Natureza continuada e/ou conserva; Obra 1 - Manut. rodov., conserv. rotineira e periódica, serviços de urgência e pequenos melhoramentos, bem como reparações do corpo estradal, na 15ª URG.; Obra 1 - Alfenas, Andradas, Areado, Bandeira do Sul, Botelhos, Caldas, Campestre, Carvalhópolis, Congonhal, Divisa Nova, Espírito Santo do Dourado, Fama, Guaxupé, Ibitiúra de Minas, Ipuiúna, Juruaia, Machado, Monte Belo, Muzambinho, Nova Resende, Paraguaçu, Pouso Alegre, Poço Fundo, Poços de Caldas, Santa Rita de Caldas, Senador José Bento, Serrania, Silvianópolis, São João da Mata, São Pedro da União, Turvolândia;366,0;0,0;0,0;366,0;8729020,64;2157871,28;10886891,92;8295589,15;4959394,68;13254983,83;2591302,77;0,761979563217709
PRC-22.018/2011-C;MANUTENÇÃO E CONSERVAÇÃO RODOVIÁRIA;Não Disponível;2014-07-15;2014-07-20 00:00:00;2015-07-14 00:00:00;Andamento;PAVIDEZ ENGENHARIA LTDA;1744153000106,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;DIRETORIA DE OPERAÇÕES;CONCORRÊNCIA ELETRÔNICA;EMPREITADA POR PREÇO UNITÁRIO;Manutenção e Conservação;Natureza continuada e/ou conserva; Obra 1 - Manutenção rodoviária de forma contínua das obras sob circunscrição da 24ª CRG do DER/MG-PASSOS/MG; Obra 1 - Alpinópolis, Alterosa, Arceburgo, Areado, Bom Jesus da Penha, Capetinga, Capitólio, Carmo do Rio Claro, Claraval, Conceição da Aparecida, Cássia, Delfinópolis, Fortaleza de Minas, Guaranésia, Ibiraci, Itamogi, Itaú de Minas, Jacuí, Monte Santo de Minas, Nova Resende, Passos, Pratápolis, São José da Barra, São João Batista do Glória, São Pedro da União, São Sebastião do Paraíso, São Tomás de Aquino;360,0;0,0;0,0;360,0;1391913,38;0,0;1391913,38;0,0;0,0;0,0;1391913,38;0,0
PRC-22.018/2017-C;MANUTENÇÃO E CONSERVAÇÃO DA 38ª URG - CAPELINHA;2301762 44/17;2020-10-01;2020-10-02 00:00:00;2021-10-01 00:00:00;Execução concluída;ASEL CONSTRUCOES RODOVIARIAS LTDA;20966503000123,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;DIRETORIA DE OPERAÇÕES;CONCORRÊNCIA ELETRÔNICA;EMPREITADA POR PREÇO UNITÁRIO;Manutenção e Conservação;Natureza continuada e/ou conserva; Obra 1 - Manut. rodov., conserv. rotineira e periódica, serviços de urgência e pequenos melhoramentos, bem como reparações do corpo estradal, na 38ª URG.; Obra 1 - Agua Boa, Angelândia, Aricanduva, Capelinha, Carbonita, Itamarandiba, José Raydan, Malacacheta, Minas Novas, Novo Cruzeiro, Santa Maria do Suaçuí, Senador Modestino Gonçalves, Setubinha, São José do Jacuri, São Pedro do Suaçuí, São Sebastião do Maranhão, Turmalina, Veredinha;365,0;0,0;0,0;365,0;5064161,71;34936,2;5099097,91;4129872,31;624363,45;4754235,76;969225,6;0,809922143660113
PRC-22.018/2017-D;MANUTENÇÃO E CONSERVAÇÃO DA 38ª URG - CAPELINHA;2301762 44/17;2021-09-29;2021-10-02 00:00:00;2022-10-01 00:00:00;Execução concluída;ASEL CONSTRUCOES RODOVIARIAS LTDA;20966503000123,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;DIRETORIA DE OPERAÇÕES;CONCORRÊNCIA ELETRÔNICA;EMPREITADA POR PREÇO UNITÁRIO;Manutenção e Conservação;Natureza continuada e/ou conserva; Obra 1 - Manut. rodov., conserv. rotineira e periódica, serviços de urgência e pequenos melhoramentos, bem como reparações do corpo estradal, na 38ª URG.; Obra 1 - Agua Boa, Angelândia, Aricanduva, Capelinha, Carbonita, Itamarandiba, José Raydan, Malacacheta, Minas Novas, Novo Cruzeiro, Santa Maria do Suaçuí, Senador Modestino Gonçalves, Setubinha, São José do Jacuri, São Pedro do Suaçuí, São Sebastião do Maranhão, Turmalina, Veredinha;365,0;0,0;0,0;365,0;5063575,71;26198,19;5089773,9;4381034,1;1185813,77;5566847,87;708739,8;0,860752203550731
PRC-22.018/2017-E;MANUTENÇÃO E CONSERVAÇÃO DA 38ª URG - CAPELINHA;230176244/17;2022-09-30;2022-10-02 00:00:00;2023-10-01 00:00:00;Execução concluída;ASEL CONSTRUCOES RODOVIARIAS LTDA;20966503000123,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;DIRETORIA DE OPERAÇÕES;CONCORRÊNCIA ELETRÔNICA;EMPREITADA POR PREÇO UNITÁRIO;Manutenção e Conservação;Natureza continuada e/ou conserva; Obra 1 - Manut. rodov., conserv. rotineira e periódica, serviços de urgência e pequenos melhoramentos, bem como reparações do corpo estradal, na 38ª URG.; Obra 1 - Agua Boa, Angelândia, Aricanduva, Capelinha, Carbonita, Itamarandiba, José Raydan, Malacacheta, Minas Novas, Novo Cruzeiro, Santa Maria do Suaçuí, Senador Modestino Gonçalves, Setubinha, São José do Jacuri, São Pedro do Suaçuí, São Sebastião do Maranhão, Turmalina, Veredinha;365,0;0,0;0,0;365,0;5059286,46;29082,59;5088369,05;4918111,03;2374246,78;7292357,81;170258,02;0,966539765821428
PRC-22.019/2017-C;MANUTENÇÃO DAS RODOVIAS DA 33ª URG PIRAPORA;230176241/17;2020-09-25;2020-10-02 00:00:00;2021-10-01 00:00:00;Execução concluída;ASEL CONSTRUCOES RODOVIARIAS LTDA;20966503000123,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;DIRETORIA DE OPERAÇÕES;CONCORRÊNCIA ELETRÔNICA;EMPREITADA POR PREÇO UNITÁRIO;Manutenção e Conservação;Natureza continuada e/ou conserva; Obra 1 - MANUTENÇÃO DAS RODOVIAS DA 33ª URG PIRAPORA; Obra 1 - Buritizeiro, Coração de Jesus, Corinto, Ibiaí, João Pinheiro, Lagoa dos Patos, Lassance, Pirapora, Ponto Chique, Santa Fé de Minas, São Romão, Várzea da Palma;365,0;0,0;0,0;365,0;3119612,01;57575,28;3177187,29;3048112,9;455831,12;3503944,02;129074,39;0,959374636047974
PRC-22.019/2017-D;MANUTENÇÃO DAS RODOVIAS DA 33ª URG PIRAPORA;230176241/17;2020-09-25;2021-10-02 00:00:00;2022-10-01 00:00:00;Execução concluída;ASEL CONSTRUCOES RODOVIARIAS LTDA;20966503000123,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;DIRETORIA DE OPERAÇÕES;CONCORRÊNCIA ELETRÔNICA;EMPREITADA POR PREÇO UNITÁRIO;Manutenção e Conservação;Natureza continuada e/ou conserva; Obra 1 - MANUTENÇÃO DAS RODOVIAS DA 33ª URG PIRAPORA; Obra 1 - Buritizeiro, Coração de Jesus, Corinto, Ibiaí, João Pinheiro, Lagoa dos Patos, Lassance, Pirapora, Ponto Chique, Santa Fé de Minas, São Romão, Várzea da Palma;365,0;0,0;0,0;365,0;3119026,01;765160,07;3884186,08;3620194,21;1043016,24;4663210,45;263991,87;0,932034185653639
PRC-22.019/2017-E;MANUTENÇÃO DAS RODOVIAS DA 33ª URG PIRAPORA;230176241/17;2022-09-26;2022-10-02 00:00:00;2023-10-01 00:00:00;Execução concluída;ASEL CONSTRUCOES RODOVIARIAS LTDA;20966503000123,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;DIRETORIA DE OPERAÇÕES;CONCORRÊNCIA ELETRÔNICA;EMPREITADA POR PREÇO UNITÁRIO;Manutenção e Conservação;Natureza continuada e/ou conserva; Obra 1 - MANUTENÇÃO DAS RODOVIAS DA 33ª URG PIRAPORA; Obra 1 - Buritizeiro, Coração de Jesus, Corinto, Ibiaí, João Pinheiro, Lagoa dos Patos, Lassance, Pirapora, Ponto Chique, Santa Fé de Minas, São Romão, Várzea da Palma;365,0;0,0;0,0;365,0;3111344,36;771901,91;3883246,27;3510061,23;1555978,26;5066039,49;373185,04;0,903898693502125
